year,source_year,source_series,oecd_value,value,series,unit,method,difference_pp
1970,1970,Middle East and North Africa,28.8,28.8,Middle East,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1980,1980,Middle East and North Africa,39.4,39.4,Middle East,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1990,1990,Middle East and North Africa,55.2,55.2,Middle East,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
2000,2010,Middle East and North Africa,66.3,66.3,Middle East,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
2010,2000,Middle East and North Africa,73.8,73.8,Middle East,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1870,1870,Sub-Sahara Africa,1.8,1.8,Sub-Saharan Africa,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1880,1880,Sub-Sahara Africa,2.0,2.0,Sub-Saharan Africa,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1890,1890,Sub-Sahara Africa,2.4,2.4,Sub-Saharan Africa,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1900,1900,Sub-Sahara Africa,2.9,2.9,Sub-Saharan Africa,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1910,1910,Sub-Sahara Africa,3.6,3.6,Sub-Saharan Africa,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1920,1920,Sub-Sahara Africa,4.4,4.4,Sub-Saharan Africa,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1930,1930,Sub-Sahara Africa,6.3,6.3,Sub-Saharan Africa,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1940,1940,Sub-Sahara Africa,9.5,9.5,Sub-Saharan Africa,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1950,1950,Sub-Sahara Africa,13.4,13.4,Sub-Saharan Africa,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1960,1960,Sub-Sahara Africa,20.4,20.4,Sub-Saharan Africa,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1970,1970,Sub-Sahara Africa,25.1,25.1,Sub-Saharan Africa,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
