year,polity_valid_mean,polity2_mean,n_valid,n_polity2,n_rows
1970,-1.6614173228346456,-1.6793893129770991,127,131,132
1971,-2.146153846153846,-2.1044776119402986,130,134,135
1972,-2.522727272727273,-2.4592592592592593,132,135,136
1973,-2.4029850746268657,-2.3970588235294117,134,136,136
1974,-2.308270676691729,-2.291970802919708,133,137,137
1975,-2.3093525179856114,-2.2447552447552446,139,143,143
1976,-2.5319148936170213,-2.4895104895104896,141,143,143
1977,-2.618705035971223,-2.5174825174825175,139,143,143
1978,-2.1231884057971016,-2.0694444444444446,138,144,144
1979,-1.7462686567164178,-1.6382978723404256,134,141,144
1980,-1.9191176470588236,-1.8591549295774648,136,142,144
1981,-1.9635036496350364,-1.8943661971830985,137,142,144
1982,-1.870503597122302,-1.8169014084507042,139,142,144
1983,-1.6762589928057554,-1.6126760563380282,139,142,144
1984,-1.6785714285714286,-1.6830985915492958,140,142,144
1985,-1.4710144927536233,-1.4366197183098592,138,142,144
1986,-1.2949640287769784,-1.3169014084507042,139,142,144
1987,-1.2374100719424461,-1.2605633802816902,139,142,144
1988,-1.0,-0.986013986013986,141,143,144
1989,-0.5539568345323741,-0.5244755244755245,139,143,144
1990,0.6762589928057554,0.5833333333333334,139,144,147
1991,1.5782312925170068,1.3375,147,160,161
1992,2.1824324324324325,2.00625,148,160,161
1993,2.3006535947712417,2.208588957055215,153,163,164
1994,2.616883116883117,2.4876543209876543,154,162,163
1995,2.5844155844155843,2.459627329192547,154,161,163
1996,2.4203821656050954,2.347826086956522,157,161,163
1997,2.3734177215189876,2.329192546583851,158,161,163
1998,2.587096774193548,2.484472049689441,155,161,163
1999,2.7973856209150325,2.701863354037267,153,161,163
2000,2.987012987012987,2.9440993788819876,154,161,163
2001,3.220779220779221,3.15,154,160,163
2002,3.3525641025641026,3.260869565217391,156,161,164
2003,3.3636363636363638,3.289308176100629,154,159,164
2004,3.4805194805194803,3.41875,154,160,164
2005,3.673076923076923,3.6335403726708075,156,161,164
2006,3.7639751552795033,3.7177914110429446,161,163,166
2007,3.73125,3.685185185185185,160,162,165
2008,3.8447204968944098,3.7975460122699385,161,163,166
2009,3.8322981366459627,3.785276073619632,161,163,166
2010,3.9125,3.841463414634146,160,164,166
2011,4.061728395061729,4.012121212121212,162,165,168
2012,4.1125,4.0,160,165,167
2013,4.2625,4.16969696969697,160,165,167
2014,4.229813664596273,4.102409638554217,161,166,167
2015,4.34375,4.212121212121212,160,165,167
