Entity,Year,under5_mortality_per_1000,under5_mortality_percent
Chile,1837,417.44,41.744
Chile,1838,417.44,41.744
Chile,1839,417.44,41.744
Chile,1840,417.44,41.744
Chile,1841,417.44,41.744
Chile,1842,417.44,41.744
Chile,1843,417.44,41.744
Chile,1844,417.44,41.744
Chile,1845,417.44,41.744
Chile,1846,417.44,41.744
Chile,1847,417.44,41.744
Chile,1848,417.44,41.744
Chile,1849,417.44,41.744
Chile,1850,417.44,41.744
Chile,1851,417.44,41.744
Chile,1852,417.44,41.744
Chile,1853,417.44,41.744
Chile,1854,417.44,41.744
Chile,1855,417.44,41.744
Chile,1856,417.44,41.744
Chile,1857,417.44,41.744
Chile,1858,417.44,41.744
Chile,1859,417.44,41.744
Chile,1860,417.44,41.744
Chile,1861,417.44,41.744
Chile,1862,417.44,41.744
Chile,1863,417.44,41.744
Chile,1864,417.44,41.744
Chile,1865,417.44,41.744
Chile,1866,417.44,41.744
Chile,1867,417.44,41.744
Chile,1868,417.44,41.744
Chile,1869,417.44,41.744
Chile,1870,417.44,41.744
Chile,1871,417.44,41.744
Chile,1872,417.44,41.744
Chile,1873,417.44,41.744
Chile,1874,417.44,41.744
Chile,1875,417.44,41.744
Chile,1876,417.44,41.744
Chile,1877,417.44,41.744
Chile,1878,417.44,41.744
Chile,1879,417.44,41.744
Chile,1880,417.44,41.744
Chile,1881,417.44,41.744
Chile,1882,417.44,41.744
Chile,1883,417.44,41.744
Chile,1884,417.44,41.744
Chile,1885,417.44,41.744
Chile,1886,417.44,41.744
Chile,1887,417.44,41.744
Chile,1888,417.44,41.744
Chile,1889,417.44,41.744
Chile,1890,417.44,41.744
Chile,1891,417.44,41.744
Chile,1901,552.16,55.215999999999994
Chile,1902,438.48,43.848
Chile,1903,428.73,42.873000000000005
Chile,1904,464.46,46.446
Chile,1905,404.5,40.45
Chile,1906,531.04,53.104
Chile,1907,483.95,48.394999999999996
Chile,1908,516.43,51.642999999999994
Chile,1909,511.56,51.156
Chile,1910,433.6,43.36
Chile,1911,540.79,54.07899999999999
Chile,1912,466.08,46.608
Chile,1913,464.46,46.446
Chile,1914,414.12,41.412
Chile,1915,412.55,41.255
Chile,1916,391.57,39.157
Chile,1917,436.85,43.685
Chile,1918,414.12,41.412
Chile,1919,496.94,49.694
Chile,1920,427.11,42.711
Chile,1921,451.47,45.147000000000006
Chile,1922,389.96,38.995999999999995
Chile,1923,459.59,45.958999999999996
Chile,1924,431.98,43.198
Chile,1925,418.99,41.899
Chile,1926,407.72,40.772000000000006
Chile,1927,367.32,36.732
Chile,1928,344.73,34.473
Chile,1929,364.1,36.410000000000004
Chile,1930,380.26,38.025999999999996
Chile,1931,377.02,37.702
Chile,1932,381.88,38.188
Chile,1933,418.99,41.899
Chile,1934,425.48,42.548
Chile,1935,407.72,40.772000000000006
Chile,1936,409.33,40.933
Chile,1937,391.57,39.157
Chile,1938,383.5,38.35
Chile,1939,365.73,36.573
Chile,1940,352.81,35.281
Chile,1941,325.26,32.525999999999996
Chile,1942,317.13,31.713
Chile,1943,315.5,31.55
Chile,1944,294.24,29.424
Chile,1945,299.15,29.915
Chile,1946,260.17,26.017000000000003
Chile,1947,261.86,26.186
Chile,1948,236.99,23.699
Chile,1949,251.47,25.147
Chile,1950,238.34,23.834
Chile,1951,229.45,22.945
Chile,1952,220.65,22.065
Chile,1953,212.38,21.238
Chile,1959,168.8,16.880000000000003
Chile,1960,157.6,15.76
Chile,1961,148.6,14.86
Chile,1962,142.0,14.2
Chile,1963,135.8,13.580000000000002
Chile,1964,127.2,12.72
Chile,1965,115.8,11.58
Chile,1966,104.0,10.4
Chile,1967,94.1,9.41
Chile,1968,86.7,8.67
Chile,1969,81.9,8.190000000000001
Chile,1970,79.3,7.93
Chile,1971,77.9,7.790000000000001
Chile,1972,76.9,7.69
Chile,1973,75.0,7.5
Chile,1974,71.0,7.1
Chile,1975,64.5,6.45
Chile,1976,56.7,5.67
Chile,1977,48.9,4.89
Chile,1978,42.0,4.2
Chile,1979,36.8,3.6799999999999997
Chile,1980,33.1,3.31
Chile,1981,30.1,3.0100000000000002
Chile,1982,27.1,2.71
Chile,1983,24.6,2.46
Chile,1984,23.0,2.3
Chile,1985,22.4,2.2399999999999998
Chile,1986,22.2,2.2199999999999998
Chile,1987,21.9,2.19
Chile,1988,21.3,2.13
Chile,1989,20.4,2.04
Chile,1990,19.1,1.9100000000000001
Chile,1991,17.7,1.77
Chile,1992,16.4,1.64
Chile,1993,15.1,1.51
Chile,1994,14.0,1.4
Chile,1995,13.1,1.31
Chile,1996,12.5,1.25
Chile,1997,12.2,1.22
Chile,1998,11.9,1.19
Chile,1999,11.5,1.15
Chile,2000,10.9,1.09
Chile,2001,10.3,1.03
Chile,2002,9.8,0.9800000000000001
Chile,2003,9.5,0.95
Chile,2004,9.3,0.93
Chile,2005,9.1,0.9099999999999999
Chile,2006,9.0,0.9
Chile,2007,8.9,0.89
Chile,2008,8.9,0.89
Chile,2009,8.8,0.8800000000000001
Chile,2010,8.7,0.8699999999999999
Chile,2011,8.6,0.86
Chile,2012,8.4,0.8400000000000001
Chile,2013,8.2,0.82
Ethiopia,1800,447.88,44.788
Ethiopia,1801,447.88,44.788
Ethiopia,1802,447.88,44.788
Ethiopia,1803,447.88,44.788
Ethiopia,1804,447.88,44.788
Ethiopia,1805,447.88,44.788
Ethiopia,1806,447.88,44.788
Ethiopia,1807,447.88,44.788
Ethiopia,1808,447.88,44.788
Ethiopia,1809,447.88,44.788
Ethiopia,1810,447.88,44.788
Ethiopia,1811,447.88,44.788
Ethiopia,1812,447.88,44.788
Ethiopia,1813,447.88,44.788
Ethiopia,1814,447.88,44.788
Ethiopia,1815,447.88,44.788
Ethiopia,1816,447.88,44.788
Ethiopia,1817,447.88,44.788
Ethiopia,1818,447.88,44.788
Ethiopia,1819,447.88,44.788
Ethiopia,1820,447.88,44.788
Ethiopia,1821,447.88,44.788
Ethiopia,1822,447.88,44.788
Ethiopia,1823,447.88,44.788
Ethiopia,1824,447.88,44.788
Ethiopia,1825,447.88,44.788
Ethiopia,1826,447.88,44.788
Ethiopia,1827,447.88,44.788
Ethiopia,1828,447.88,44.788
Ethiopia,1829,447.88,44.788
Ethiopia,1830,447.88,44.788
Ethiopia,1831,447.88,44.788
Ethiopia,1832,447.88,44.788
Ethiopia,1833,447.88,44.788
Ethiopia,1834,447.88,44.788
Ethiopia,1835,447.88,44.788
Ethiopia,1836,447.88,44.788
Ethiopia,1837,447.88,44.788
Ethiopia,1838,447.88,44.788
Ethiopia,1839,447.88,44.788
Ethiopia,1840,447.88,44.788
Ethiopia,1841,447.88,44.788
Ethiopia,1842,447.88,44.788
Ethiopia,1843,447.88,44.788
Ethiopia,1844,447.88,44.788
Ethiopia,1845,447.88,44.788
Ethiopia,1846,447.88,44.788
Ethiopia,1847,447.88,44.788
Ethiopia,1848,447.88,44.788
Ethiopia,1849,447.88,44.788
Ethiopia,1850,447.88,44.788
Ethiopia,1851,447.88,44.788
Ethiopia,1852,447.88,44.788
Ethiopia,1853,447.88,44.788
Ethiopia,1854,447.88,44.788
Ethiopia,1855,447.88,44.788
Ethiopia,1856,447.88,44.788
Ethiopia,1857,447.88,44.788
Ethiopia,1858,447.88,44.788
Ethiopia,1859,447.88,44.788
Ethiopia,1860,447.88,44.788
Ethiopia,1861,447.88,44.788
Ethiopia,1862,447.88,44.788
Ethiopia,1863,447.88,44.788
Ethiopia,1864,447.88,44.788
Ethiopia,1865,447.88,44.788
Ethiopia,1866,447.88,44.788
Ethiopia,1867,447.88,44.788
Ethiopia,1868,447.88,44.788
Ethiopia,1869,447.88,44.788
Ethiopia,1870,447.88,44.788
Ethiopia,1871,447.88,44.788
Ethiopia,1872,447.88,44.788
Ethiopia,1873,447.88,44.788
Ethiopia,1874,447.88,44.788
Ethiopia,1875,447.88,44.788
Ethiopia,1876,447.88,44.788
Ethiopia,1877,447.88,44.788
Ethiopia,1878,447.88,44.788
Ethiopia,1879,447.88,44.788
Ethiopia,1880,447.88,44.788
Ethiopia,1881,447.88,44.788
Ethiopia,1882,447.88,44.788
Ethiopia,1883,447.88,44.788
Ethiopia,1884,447.88,44.788
Ethiopia,1885,447.88,44.788
Ethiopia,1886,447.88,44.788
Ethiopia,1887,447.88,44.788
Ethiopia,1888,447.88,44.788
Ethiopia,1889,447.88,44.788
Ethiopia,1890,447.88,44.788
Ethiopia,1891,447.88,44.788
Ethiopia,1892,447.88,44.788
Ethiopia,1893,447.88,44.788
Ethiopia,1894,447.87,44.787
Ethiopia,1895,447.83,44.783
Ethiopia,1896,447.76,44.775999999999996
Ethiopia,1897,447.64,44.763999999999996
Ethiopia,1898,447.47,44.747
Ethiopia,1899,447.22,44.722
Ethiopia,1900,446.91,44.691
Ethiopia,1901,446.52,44.652
Ethiopia,1902,446.07,44.607
Ethiopia,1903,445.54,44.554
Ethiopia,1904,444.95,44.495
Ethiopia,1905,444.28,44.428
Ethiopia,1906,443.54,44.354
Ethiopia,1907,442.74,44.274
Ethiopia,1908,441.86,44.186
Ethiopia,1909,440.93,44.093
Ethiopia,1910,439.95,43.995
Ethiopia,1911,438.93,43.893
Ethiopia,1912,437.89,43.789
Ethiopia,1913,436.84,43.684
Ethiopia,1914,435.79,43.579
Ethiopia,1915,434.74,43.474000000000004
Ethiopia,1916,433.69,43.369
Ethiopia,1917,432.64,43.263999999999996
Ethiopia,1918,431.59,43.159
Ethiopia,1919,430.54,43.054
Ethiopia,1920,429.48,42.948
Ethiopia,1921,428.43,42.843
Ethiopia,1922,427.38,42.738
Ethiopia,1923,426.33,42.632999999999996
Ethiopia,1924,425.28,42.528
Ethiopia,1925,424.23,42.423
Ethiopia,1926,423.18,42.318
Ethiopia,1927,422.13,42.213
Ethiopia,1928,421.08,42.108
