"idper","yearq","year","ager","sex","hispanic","race","race_ethnicity","hincome1","hincome2","marital","popsize","region","msa","locality","educatn1","educatn2","veteran","citizen","newcrime","newoff","seriousviolent","notify","vicservices","locationr","direl","weapon","weapcat","injury","serious","treatment","offenderage","offendersex","offtracenew","wgtviccy","series","newwgt"
"154728373128999999999913501","1993.1","1993","4","2","1","1","6","1","-1","5","-1","-1","1","-1","3","-1","-2","-1","1","4","2","2","2","1","4","2","0","0","1","0","98","2","-1","4674.70853","1","4674.70853"
"154753883846999999999913603","1993.1","1993","3","1","2","1","1","5","-1","1","-1","-1","2","-1","4","-1","-2","-1","1","3","1","2","2","3","4","1","1","0","1","0","5","1","-1","4732.9862","1","4732.9862"
"154753883846999999999913603","1993.1","1993","3","1","2","1","1","5","-1","1","-1","-1","2","-1","4","-1","-2","-1","1","4","2","2","2","3","4","2","0","0","1","0","3","1","-1","4732.9862","1","4732.9862"
"154753883846999999999913603","1993.1","1993","3","1","2","1","1","5","-1","1","-1","-1","2","-1","4","-1","-2","-1","1","3","1","2","2","3","4","1","2","1","2","2","3","1","-1","4732.9862","1","4732.9862"
"154855949408999999999912602","1993.1","1993","4","2","2","1","1","98","-1","2","-1","-1","1","-1","5","-1","-2","-1","1","4","2","1","1","1","4","2","0","0","1","0","3","1","-1","2217.13602","1","2217.13602"
"154924775849999999999912502","1993.1","1993","4","2","1","1","6","5","-1","2","-1","-1","2","-1","3","-1","-2","-1","1","1","1","1","2","1","1","2","0","1","3","2","4","1","-1","3171.57598","2","31715.7598"
"154946546242999999999922502","1993.1","1993","1","2","2","1","1","2","-1","1","-1","-1","1","-1","3","-1","-2","-1","1","4","2","1","2","1","2","2","0","1","3","1","2","1","-1","4882.88183","1","4882.88183"
"155092068001999999999922603","1993.1","1993","1","1","2","1","1","4","-1","1","-1","-1","3","-1","4","-1","-2","-1","1","2","1","2","2","3","4","2","0","0","1","0","3","1","-1","3288.34349","1","3288.34349"
"155329281509999999999913501","1993.1","1993","3","2","2","2","2","2","-1","4","-1","-1","1","-1","5","-1","-2","-1","1","3","1","2","2","3","4","1","1","0","1","0","3","1","-1","3902.06064","1","3902.06064"
"155329281509999999999913502","1993.1","1993","1","1","2","2","2","2","-1","1","-1","-1","1","-1","3","-1","-2","-1","1","2","1","2","2","3","4","3","5","1","3","1","5","1","-1","4433.80367","1","4433.80367"
"155345538311999999999912601","1993.1","1993","3","1","2","1","1","3","-1","2","-1","-1","2","-1","4","-1","-2","-1","1","3","1","2","2","3","3","1","3","0","1","0","4","1","-1","6644.82193","1","6644.82193"
"155347019044999999999922603","1993.1","1993","1","1","1","1","6","3","-1","1","-1","-1","1","-1","3","-1","-2","-1","1","4","2","2","2","3","4","2","0","1","3","1","3","1","-1","5229.66496","1","5229.66496"
"155347054879999999999912503","1993.1","1993","1","2","1","1","6","7","-1","1","-1","-1","2","-1","4","-1","-2","-1","2","5","3","2","2","3","4","3","5","0","1","0","3","1","-1","4529.35468","1","4529.35468"
"155347423804999999999912606","1993.1","1993","4","2","2","1","1","3","-1","2","-1","-1","2","-1","98","-1","-2","-1","1","1","1","2","2","5","3","1","1","1","3","1","4","1","-1","3496.557","1","3496.557"
"155391930042999999999922602","1993.1","1993","4","1","2","1","1","1","-1","4","-1","-1","2","-1","4","-1","-2","-1","1","3","1","2","2","3","3","1","3","0","1","0","4","1","-1","3625.68252","1","3625.68252"
"155449148924999999999923504","1993.1","1993","1","1","1","2","6","3","-1","1","-1","-1","2","-1","4","-1","-2","-1","1","2","1","1","2","1","3","2","0","0","1","0","2","1","-1","5698.51575","1","5698.51575"
"155449148971999999999923502","1993.1","1993","3","2","2","1","1","4","-1","2","-1","-1","2","-1","5","-1","-2","-1","1","4","2","1","2","1","4","2","0","0","1","0","2","1","-1","4223.903250001","1","4223.903250001"
"155501387140999999999913602","1993.1","1993","4","1","2","1","1","1","-1","4","-1","-1","2","-1","3","-1","-2","-1","1","4","2","1","2","1","4","2","0","0","1","0","5","2","-1","5514.25868","1","5514.25868"
"155501387140999999999913602","1993.1","1993","4","1","2","1","1","1","-1","4","-1","-1","2","-1","3","-1","-2","-1","1","4","2","1","2","1","1","2","0","0","1","0","5","2","-1","5514.25868","1","5514.25868"
"155675343309999999999921601","1993.1","1993","4","1","2","2","2","4","-1","2","-1","-1","1","-1","5","-1","-2","-1","1","4","2","2","2","3","4","2","0","0","1","0","3","1","-1","9892.74529","1","9892.74529"
"155675343309999999999921601","1993.1","1993","4","1","2","2","2","4","-1","2","-1","-1","1","-1","5","-1","-2","-1","1","4","2","2","2","3","4","2","0","0","1","0","3","1","-1","9892.74529","1","9892.74529"
"155761165039999999999912602","1993.1","1993","4","2","2","1","1","6","-1","2","-1","-1","2","-1","5","-1","-2","-1","1","4","2","2","2","3","4","2","0","0","1","0","3","1","-1","3996.90723","1","3996.90723"
"155846548945999999999932502","1993.1","1993","1","2","2","1","1","2","-1","1","-1","-1","1","-1","2","-1","-2","-1","1","4","2","1","2","2","3","3","5","0","1","0","4","1","-1","3766.55595","1","3766.55595"
"155923194703999999999913503","1993.1","1993","2","1","2","1","1","5","-1","1","-1","-1","2","-1","4","-1","-2","-1","1","4","2","1","2","4","4","2","0","0","1","0","3","1","-1","8443.34866","1","8443.34866"
"155949093488999999999922601","1993.1","1993","4","2","2","1","1","3","-1","4","-1","-1","2","-1","5","-1","-2","-1","1","2","1","1","2","3","4","3","5","1","3","1","3","1","-1","3805.33718","1","3805.33718"
"155957196362999999999913603","1993.1","1993","2","1","2","1","1","6","-1","1","-1","-1","2","-1","4","-1","-2","-1","1","4","2","2","2","4","4","2","0","0","1","0","4","1","-1","5443.70607","1","5443.70607"
"155957196362999999999913603","1993.1","1993","2","1","2","1","1","6","-1","1","-1","-1","2","-1","4","-1","-2","-1","1","4","2","2","2","4","4","2","0","0","1","0","4","1","-1","5443.70607","1","5443.70607"
"156494750645999999999912605","1993.1","1993","1","1","2","1","1","3","-1","1","-1","-1","3","-1","3","-1","-2","-1","1","4","2","2","2","4","3","2","0","0","1","0","2","1","-1","4004.95231","1","4004.95231"
"156592121128999999999941501","1993.1","1993","4","2","2","1","1","4","-1","3","-1","-1","1","-1","4","-1","-2","-1","1","4","2","2","2","1","1","2","0","1","3","1","3","1","-1","4929.98847","2","34509.91929"
"156633794857999999999913602","1993.1","1993","4","2","2","1","1","3","-1","2","-1","-1","3","-1","4","-1","-2","-1","1","4","2","1","2","3","3","2","0","1","3","2","3","1","-1","3982.44647","1","3982.44647"
"156718327692999999999922601","1993.1","1993","3","2","2","1","1","4","-1","1","-1","-1","2","-1","5","-1","-2","-1","1","3","1","1","2","4","4","2","0","1","2","2","3","1","-1","3116.72374","1","3116.72374"
"156879452731999999999913601","1993.1","1993","5","2","2","1","1","98","-1","4","-1","-1","2","-1","98","-1","-2","-1","2","5","3","1","2","5","4","3","5","0","1","0","4","1","-1","3492.24318","1","3492.24318"
"156879452731999999999913601","1993.1","1993","5","2","2","1","1","98","-1","4","-1","-1","2","-1","98","-1","-2","-1","1","4","2","1","2","1","2","2","0","1","3","1","4","2","-1","3492.24318","1","3492.24318"
"157037695949999999999911601","1993.1","1993","4","1","2","1","1","6","-1","2","-1","-1","2","-1","4","-1","-2","-1","1","3","1","1","2","1","4","1","3","0","1","0","3","1","-1","4214.41612","1","4214.41612"
"157042449251999999999911606","1993.1","1993","3","2","2","2","2","2","-1","1","-1","-1","1","-1","5","-1","-2","-1","1","3","1","1","2","1","3","1","3","0","1","0","2","2","-1","5465.14564","1","5465.14564"
